ID,FP,Approved,On hold,Sourcing start,Interview start,Interview end,Offered,Filled,Status,Role Type,Recruiting Channel,Offer Bonus,City,State
3612,F,2014-07-06,,2014-07-12 00:00:00,2014-07-28 00:00:00,2014-08-13 00:00:00,2014-08-22 00:00:00,2014-08-28 00:00:00,Filled,Non-Technical,LinkedIn,5000.0,Boston,MA
15690,P,2014-07-30,,2014-08-05 00:00:00,2014-08-21 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Seattle,WA
10515,F,2014-08-27,,,,,,,Approved,Non-Technical,,,San Francisco,CA
19352,F,2014-06-30,,2014-07-06 00:00:00,2014-07-25 00:00:00,2014-08-12 00:00:00,2014-08-20 00:00:00,2014-08-28 00:00:00,Filled,Technical,LinkedIn,26000.0,Austin,TX
16483,P,2014-06-21,,2014-06-30 00:00:00,2014-07-16 00:00:00,2014-08-14 00:00:00,2014-08-21 00:00:00,2014-08-26 00:00:00,Filled,Technical,LinkedIn,,Miami,FL
9866,F,2014-07-24,,2014-08-01 00:00:00,2014-08-14 00:00:00,,,,Interview start,Technical,Internal,,Austin,TX
4581,P,2014-06-16,,2014-06-23 00:00:00,2014-07-07 00:00:00,2014-07-31 00:00:00,2014-08-06 00:00:00,2014-08-12 00:00:00,Filled,Technical,Internal,,Atlanta,GA
4268,P,2014-08-28,,,,,,,Approved,Technical,,,New York,NY
5348,F,2014-07-14,,2014-07-19 00:00:00,2014-08-02 00:00:00,2014-08-28 00:00:00,,,Interview end,Technical,Internal,,Atlanta,GA
10290,F,2014-06-08,,2014-06-17 00:00:00,2014-07-01 00:00:00,2014-07-19 00:00:00,2014-07-26 00:00:00,2014-08-01 00:00:00,Filled,Non-Technical,LinkedIn,25000.0,Miami,FL
5574,P,2014-07-01,,2014-07-10 00:00:00,2014-07-23 00:00:00,2014-08-18 00:00:00,2014-08-23 00:00:00,,Offered,Non-Technical,Internal,,Denver,CO
13441,F,2014-06-15,,2014-06-21 00:00:00,2014-07-09 00:00:00,2014-08-07 00:00:00,2014-08-15 00:00:00,2014-08-23 00:00:00,Filled,Technical,Internal,14000.0,Atlanta,GA
1693,F,2014-07-28,,2014-08-02 00:00:00,2014-08-17 00:00:00,,,,Interview start,Technical,Referral,,Dallas,TX
15560,P,2014-08-26,,2014-08-31 00:00:00,,,,,Sourcing start,Non-Technical,,,Denver,CO
4843,P,2014-08-06,,2014-08-13 00:00:00,2014-08-23 00:00:00,,,,Interview start,Technical,LinkedIn,,Chicago,IL
9582,F,2014-06-28,,2014-07-05 00:00:00,2014-07-22 00:00:00,2014-08-15 00:00:00,2014-08-23 00:00:00,,Offered,Technical,Referral,15000.0,San Francisco,CA
5135,F,2014-07-14,,2014-07-20 00:00:00,2014-08-08 00:00:00,2014-08-28 00:00:00,,,Interview end,Technical,Referral,,Miami,FL
16663,F,2014-07-08,,2014-07-14 00:00:00,2014-07-25 00:00:00,2014-08-16 00:00:00,2014-08-24 00:00:00,2014-08-30 00:00:00,Filled,Non-Technical,Internal,7500.0,Austin,TX
1998,F,2014-06-25,,2014-07-01 00:00:00,2014-07-11 00:00:00,2014-07-28 00:00:00,2014-08-02 00:00:00,2014-08-11 00:00:00,Filled,Technical,Referral,22500.0,Chicago,IL
6536,P,2014-06-17,,2014-06-22 00:00:00,2014-07-07 00:00:00,2014-07-28 00:00:00,2014-08-03 00:00:00,2014-08-12 00:00:00,Filled,Non-Technical,LinkedIn,,Atlanta,GA
18988,F,2014-07-05,,2014-07-10 00:00:00,2014-07-22 00:00:00,2014-08-10 00:00:00,2014-08-17 00:00:00,2014-08-25 00:00:00,Filled,Technical,Internal,17500.0,San Francisco,CA
4134,P,2014-08-20,,2014-08-29 00:00:00,,,,,Sourcing start,Non-Technical,,,Denver,CO
17456,F,2014-07-13,,2014-07-21 00:00:00,2014-08-05 00:00:00,,,,Interview start,Technical,Internal,,Dallas,TX
5489,P,2014-06-18,,2014-06-23 00:00:00,2014-07-11 00:00:00,2014-08-03 00:00:00,2014-08-08 00:00:00,2014-08-17 00:00:00,Filled,Non-Technical,LinkedIn,,Denver,CO
9049,F,2014-06-29,,2014-07-06 00:00:00,2014-07-23 00:00:00,2014-08-14 00:00:00,2014-08-22 00:00:00,2014-08-30 00:00:00,Filled,Non-Technical,Referral,8500.0,Seattle,WA
9291,P,2014-07-17,,2014-07-23 00:00:00,2014-08-02 00:00:00,2014-08-20 00:00:00,2014-08-26 00:00:00,2014-08-31 00:00:00,Filled,Non-Technical,Referral,,Miami,FL
9845,F,2014-01-18,2014-01-30 00:00:00,,,,,,On hold,Non-Technical,,,Denver,CO
13235,P,2014-07-26,,2014-08-03 00:00:00,2014-08-22 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,New York,NY
88,P,2014-07-25,,2014-07-31 00:00:00,2014-08-13 00:00:00,,,,Interview start,Non-Technical,Internal,,Miami,FL
16921,P,2014-06-28,,2014-07-04 00:00:00,2014-07-20 00:00:00,2014-08-05 00:00:00,2014-08-13 00:00:00,2014-08-19 00:00:00,Filled,Non-Technical,Internal,,Seattle,WA
1443,F,2014-06-01,,2014-06-08 00:00:00,2014-06-26 00:00:00,2014-07-24 00:00:00,2014-07-31 00:00:00,2014-08-08 00:00:00,Filled,Non-Technical,Referral,23000.0,Miami,FL
7974,P,2014-08-27,,,,,,,Approved,Technical,,,Miami,FL
10340,P,2014-08-31,,,,,,,Approved,Technical,,,Dallas,TX
7577,F,2014-08-08,,2014-08-15 00:00:00,2014-08-26 00:00:00,,,,Interview start,Technical,LinkedIn,,Dallas,TX
11646,F,2014-06-17,,2014-06-24 00:00:00,2014-07-07 00:00:00,2014-07-24 00:00:00,2014-07-31 00:00:00,2014-08-07 00:00:00,Filled,Non-Technical,LinkedIn,17500.0,Austin,TX
16658,F,2014-08-31,,,,,,,Approved,Technical,,,Denver,CO
15983,P,2014-08-31,,,,,,,Approved,Technical,,,Atlanta,GA
5069,P,2014-06-10,,2014-06-15 00:00:00,2014-06-26 00:00:00,2014-07-25 00:00:00,2014-08-02 00:00:00,2014-08-08 00:00:00,Filled,Non-Technical,LinkedIn,,Atlanta,GA
7987,F,2014-08-25,,2014-08-31 00:00:00,,,,,Sourcing start,Non-Technical,,,Dallas,TX
14378,F,2014-07-22,,2014-07-29 00:00:00,2014-08-16 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,San Francisco,CA
17057,F,2014-08-16,,2014-08-21 00:00:00,,,,,Sourcing start,Technical,,,San Francisco,CA
4808,P,2014-06-15,,2014-06-24 00:00:00,2014-07-07 00:00:00,2014-07-30 00:00:00,2014-08-06 00:00:00,2014-08-15 00:00:00,Filled,Non-Technical,Referral,,San Francisco,CA
17198,F,2014-08-02,,2014-08-10 00:00:00,2014-08-27 00:00:00,,,,Interview start,Technical,Internal,,San Francisco,CA
4227,P,2014-07-15,,2014-07-20 00:00:00,2014-08-02 00:00:00,2014-08-29 00:00:00,,,Interview end,Technical,LinkedIn,,Chicago,IL
2387,F,2014-08-23,,2014-08-31 00:00:00,,,,,Sourcing start,Technical,,,Atlanta,GA
19157,P,2014-08-10,,2014-08-19 00:00:00,,,,,Sourcing start,Technical,,,San Francisco,CA
2623,P,2014-08-07,,2014-08-12 00:00:00,2014-08-22 00:00:00,,,,Interview start,Technical,Direct,,Seattle,WA
11341,F,2014-08-16,,2014-08-21 00:00:00,,,,,Sourcing start,Non-Technical,,,Atlanta,GA
5602,F,2014-08-09,,2014-08-17 00:00:00,,,,,Sourcing start,Technical,,,Miami,FL
9436,P,2014-06-13,,2014-06-22 00:00:00,2014-07-05 00:00:00,2014-08-02 00:00:00,2014-08-11 00:00:00,2014-08-20 00:00:00,Filled,Non-Technical,Referral,,Denver,CO
19903,F,2014-07-15,,2014-07-22 00:00:00,2014-08-03 00:00:00,2014-08-19 00:00:00,2014-08-28 00:00:00,,Offered,Non-Technical,LinkedIn,19000.0,Miami,FL
14301,F,2014-06-11,,2014-06-18 00:00:00,2014-07-07 00:00:00,2014-08-02 00:00:00,2014-08-07 00:00:00,2014-08-12 00:00:00,Filled,Technical,Referral,14000.0,Atlanta,GA
10154,P,2014-06-13,,2014-06-21 00:00:00,2014-07-06 00:00:00,2014-08-03 00:00:00,2014-08-09 00:00:00,2014-08-14 00:00:00,Filled,Non-Technical,Referral,,Austin,TX
12385,F,2014-07-30,,2014-08-05 00:00:00,2014-08-16 00:00:00,,,,Interview start,Technical,Internal,,New York,NY
5932,F,2014-06-29,,2014-07-05 00:00:00,2014-07-24 00:00:00,2014-08-16 00:00:00,2014-08-22 00:00:00,2014-08-31 00:00:00,Filled,Non-Technical,Referral,24500.0,Dallas,TX
14571,P,2014-07-18,,2014-07-27 00:00:00,2014-08-13 00:00:00,,,,Interview start,Technical,LinkedIn,,Atlanta,GA
18459,F,2014-07-22,,2014-07-31 00:00:00,2014-08-10 00:00:00,,,,Interview start,Technical,LinkedIn,,Boston,MA
16299,P,2014-07-11,,2014-07-19 00:00:00,2014-08-01 00:00:00,2014-08-25 00:00:00,2014-08-30 00:00:00,,Offered,Technical,Referral,,San Francisco,CA
1072,F,2014-06-13,,2014-06-20 00:00:00,2014-07-02 00:00:00,2014-07-28 00:00:00,2014-08-04 00:00:00,2014-08-10 00:00:00,Filled,Non-Technical,Referral,16000.0,New York,NY
10689,F,2014-08-05,,2014-08-11 00:00:00,2014-08-21 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Dallas,TX
5966,F,2014-06-22,,2014-06-28 00:00:00,2014-07-14 00:00:00,2014-07-29 00:00:00,2014-08-04 00:00:00,2014-08-13 00:00:00,Filled,Technical,Referral,16000.0,Chicago,IL
16710,P,2014-07-27,,2014-08-04 00:00:00,2014-08-19 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Chicago,IL
5681,P,2014-07-12,,2014-07-21 00:00:00,2014-08-09 00:00:00,2014-08-28 00:00:00,,,Interview end,Non-Technical,Internal,,Boston,MA
9163,P,2014-07-04,,2014-07-09 00:00:00,2014-07-26 00:00:00,2014-08-18 00:00:00,2014-08-24 00:00:00,2014-08-31 00:00:00,Filled,Non-Technical,LinkedIn,,Seattle,WA
13991,F,2014-07-15,,2014-07-24 00:00:00,2014-08-04 00:00:00,,,,Interview start,Non-Technical,Internal,,Miami,FL
2372,P,2014-06-22,,2014-06-27 00:00:00,2014-07-07 00:00:00,2014-08-01 00:00:00,2014-08-09 00:00:00,2014-08-17 00:00:00,Filled,Non-Technical,Referral,,Denver,CO
14517,F,2014-07-25,,2014-08-01 00:00:00,2014-08-19 00:00:00,,,,Interview start,Non-Technical,Referral,,Miami,FL
3224,F,2014-08-19,,2014-08-24 00:00:00,,,,,Sourcing start,Non-Technical,,,Dallas,TX
3409,P,2014-07-09,,2014-07-16 00:00:00,2014-08-02 00:00:00,2014-08-27 00:00:00,,,Interview end,Technical,Referral,,Atlanta,GA
4947,F,2014-07-11,,2014-07-17 00:00:00,2014-08-01 00:00:00,2014-08-28 00:00:00,,,Interview end,Technical,Internal,,Miami,FL
19040,F,2014-07-25,,2014-08-01 00:00:00,2014-08-17 00:00:00,,,,Interview start,Technical,LinkedIn,,Austin,TX
10570,F,2014-06-08,,2014-06-15 00:00:00,2014-06-28 00:00:00,2014-07-24 00:00:00,2014-08-01 00:00:00,2014-08-10 00:00:00,Filled,Non-Technical,Internal,20000.0,Miami,FL
11183,F,2014-07-09,,2014-07-17 00:00:00,2014-07-30 00:00:00,2014-08-23 00:00:00,2014-08-29 00:00:00,,Offered,Non-Technical,Referral,8000.0,San Francisco,CA
7235,P,2014-06-11,,2014-06-18 00:00:00,2014-07-07 00:00:00,2014-07-22 00:00:00,2014-07-30 00:00:00,2014-08-04 00:00:00,Filled,Technical,LinkedIn,,Miami,FL
6846,F,2014-08-23,,2014-08-29 00:00:00,,,,,Sourcing start,Non-Technical,,,Boston,MA
1195,P,2014-08-10,,2014-08-16 00:00:00,2014-08-27 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Chicago,IL
10000,F,2014-06-24,,2014-06-29 00:00:00,2014-07-15 00:00:00,2014-08-11 00:00:00,2014-08-20 00:00:00,2014-08-29 00:00:00,Filled,Technical,Direct,13000.0,San Francisco,CA
18126,F,2014-08-05,,2014-08-10 00:00:00,2014-08-27 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Dallas,TX
2010,F,2014-06-23,,2014-07-01 00:00:00,2014-07-17 00:00:00,2014-08-06 00:00:00,2014-08-12 00:00:00,2014-08-20 00:00:00,Filled,Technical,LinkedIn,16000.0,Austin,TX
6806,F,2014-07-22,,2014-07-29 00:00:00,2014-08-08 00:00:00,,,,Interview start,Technical,LinkedIn,,Seattle,WA
3959,F,2014-07-16,,2014-07-23 00:00:00,2014-08-06 00:00:00,2014-08-22 00:00:00,2014-08-28 00:00:00,,Offered,Non-Technical,Direct,9500.0,Miami,FL
4016,F,2014-08-13,,2014-08-20 00:00:00,2014-08-30 00:00:00,,,,Interview start,Non-Technical,LinkedIn,,Atlanta,GA
9085,P,2014-08-24,,,,,,,Approved,Technical,,,Austin,TX
19578,P,2014-07-11,,2014-07-18 00:00:00,2014-08-06 00:00:00,2014-08-21 00:00:00,2014-08-28 00:00:00,,Offered,Non-Technical,Internal,,Chicago,IL
7273,P,2014-06-27,,2014-07-02 00:00:00,2014-07-14 00:00:00,2014-08-03 00:00:00,2014-08-12 00:00:00,2014-08-21 00:00:00,Filled,Non-Technical,Referral,,San Francisco,CA
12196,F,2014-06-25,,2014-07-03 00:00:00,2014-07-17 00:00:00,2014-08-12 00:00:00,2014-08-20 00:00:00,2014-08-29 00:00:00,Filled,Technical,Internal,26500.0,Denver,CO
11304,F,2014-07-02,,2014-07-09 00:00:00,2014-07-25 00:00:00,2014-08-16 00:00:00,2014-08-21 00:00:00,2014-08-26 00:00:00,Filled,Technical,LinkedIn,19000.0,Boston,MA
15961,F,2014-07-03,,2014-07-09 00:00:00,2014-07-25 00:00:00,2014-08-10 00:00:00,2014-08-17 00:00:00,2014-08-24 00:00:00,Filled,Non-Technical,LinkedIn,17000.0,Austin,TX
4079,P,2014-07-05,,2014-07-14 00:00:00,2014-07-29 00:00:00,2014-08-24 00:00:00,2014-08-31 00:00:00,,Offered,Technical,LinkedIn,,Seattle,WA
1810,P,2014-07-19,,2014-07-25 00:00:00,2014-08-13 00:00:00,,,,Interview start,Non-Technical,Referral,,Seattle,WA
17308,P,2014-05-31,,2014-06-07 00:00:00,2014-06-22 00:00:00,2014-07-19 00:00:00,2014-07-25 00:00:00,2014-08-03 00:00:00,Filled,Non-Technical,LinkedIn,,New York,NY
3346,P,2014-06-18,,2014-06-25 00:00:00,2014-07-07 00:00:00,2014-07-27 00:00:00,2014-08-05 00:00:00,2014-08-14 00:00:00,Filled,Non-Technical,LinkedIn,,Seattle,WA
11775,F,2014-08-27,,,,,,,Approved,Technical,,,Boston,MA
19256,F,2014-06-14,,2014-06-19 00:00:00,2014-07-02 00:00:00,2014-07-25 00:00:00,2014-08-02 00:00:00,2014-08-07 00:00:00,Filled,Non-Technical,Internal,6000.0,Dallas,TX
7874,P,2014-06-06,,2014-06-11 00:00:00,2014-06-30 00:00:00,2014-07-28 00:00:00,2014-08-05 00:00:00,2014-08-10 00:00:00,Filled,Technical,LinkedIn,,Dallas,TX
